Category,Issue_Number,Title,Summary,Technical_Details,Categorization_Reason,Labels,State,Created_Date,Updated_Date,Author,Assignees,Comments_Count,URL,Is_Pull_Request,Body_Length,Priority_Indicators
Error Crash,11543,[Bug]: Hard Crash when model tries to use unsupported parameters for execute_bash,Hard Crash when model tries to use unsupported parameters for execute_bash. ### Is there an existing issue for the same bug...,Conversation run failed for id=423b3c56-2928-4eae-bf58-48fda279ddd2: Parameter 'parameter' is not al; Parameter 'parameter' is not allowed for function 'execute_bash'. Allowed parameters: {'security_ris; Conversation run failed for id=423b3c56-2928-4eae-bf58-48fda279ddd2: Parameter 'parameter' is not al,Contains error/crash related keywords,bug,open,2025-10-28,2025-10-28,trieloff,,0,https://github.com/OpenHands/OpenHands/issues/11543,No,4871,High
Error Crash,11512,[Bug]: There is no docker.all-hands.dev/openhands/runtime,There is no docker.all-hands.dev/openhands/runtime. ### Is there an existing issue for the same bug...,,Contains error/crash related keywords,bug; OH repository; reproduced,open,2025-10-26,2025-10-26,dzan-lab,,2,https://github.com/OpenHands/OpenHands/issues/11512,No,620,Normal
Error Crash,11498,"[Bug]: BadRequestError: litellm.BadRequestError: OpenAIException - { ""error"": { ""message"": ""Unsupported parameter: 'temperature' is not supported with this model."", ""type"": ""invalid_request_error"", ""param"": ""temperature"", ""code"": null } }","BadRequestError: litellm.BadRequestError: OpenAIException - { ""error"": { ""message"": ""Unsupported parameter: 'temperature' is not supported with this model."", ""type"": ""invalid_request_error"", ""param"": ""temperature"", ""code"": null } }. ### Is there an existing issue for the same bug...","litellm.BadRequestError: OpenAIException - { ""error"": { ""message"": ""Unsupported parameter: 'temperat; litellm.BadRequestError: OpenAIException - { ""error"": { ""message"": ""Unsupported parameter: 'temperat",Contains error/crash related keywords,bug; llm,open,2025-10-24,2025-10-26,dibu28,,0,https://github.com/OpenHands/OpenHands/issues/11498,No,604,Normal
Error Crash,11483,[Bug]: [CLI V1]: User microagents from ~/.openhands/microagents/ not loaded in openhands-cli,[CLI V1]: User microagents from ~/.openhands/microagents/ not loaded in openhands-cli. ### Is there an existing issue for the same bug...,,Contains error/crash related keywords,bug; CLI,open,2025-10-23,2025-10-28,whywaita,,2,https://github.com/OpenHands/OpenHands/issues/11483,No,1084,Normal
Error Crash,11472,[Bug]: Github resolver fails with opaque error when lacking permissions,Github resolver fails with opaque error when lacking permissions. ### Is there an existing issue for the same bug...,Client error '401 Unauthorized' for url 'https://api.github.com/repos/OpenHands/agent-sdk/issues/476; Invalid github token; AuthenticationError: Invalid github token,Contains error/crash related keywords,bug; openhands,open,2025-10-21,2025-10-21,neubig,,2,https://github.com/OpenHands/OpenHands/issues/11472,No,1981,Normal
Error Crash,11451,[Bug]: module 'openhands' has no attribute '__version__' when running SWE-Bench evaluation due to source not linked in Poetry environment,module 'openhands' has no attribute '__version__' when running SWE-Bench evaluation due to source not linked in Poetry environment. ### Is there an existing issue for the same bug...,agent_controller.py:373 - [Agent Controller 20f9e473-44b6-40-3279a07bf558590] Error while runni; module 'openhands' has no attribute '__version__'; AttributeError: module 'openhands' has no attribute '__version__',Contains error/crash related keywords,bug; evaluation,open,2025-10-21,2025-10-21,JackyYang258,,2,https://github.com/OpenHands/OpenHands/issues/11451,No,3789,Normal
Error Crash,11433,[Bug]: Unsupported parameter: 'stop' when using GPT-5 provided by Azure,Unsupported parameter: 'stop' when using GPT-5 provided by Azure. ### Is there an existing issue for the same bug...,"agent_controller.py:373 - [Agent Controller 78a87896-19c3-4c-b3c123a1e554a8c] Error while running th; Error code: 400 - {'error': {'message': ""Unsupported parameter: 'stop' is not supported with this mo; Error code: 400 - {'error': {'message': ""Unsupported parameter: 'stop' is not supported with this mo",Contains error/crash related keywords,bug; llm,open,2025-10-20,2025-10-20,LeightonWang,,0,https://github.com/OpenHands/OpenHands/issues/11433,No,9588,Normal
Error Crash,11403,"[Bug]: In the MCPProxyManager, the mounted mcp_app has not been effectively removed.","In the MCPProxyManager, the mounted mcp_app has not been effectively removed.. ```markdown
### Is there an existing issue for the same bug...",There should be one /mcp mount,Contains error/crash related keywords,bug; mcp,open,2025-10-16,2025-10-20,CLFutureX,,1,https://github.com/OpenHands/OpenHands/issues/11403,No,2847,Normal
Error Crash,11378,CLI crashes with FunctionCallValidationError: Missing required parameter 'security_risk' for execute_bash,"CLI crashes with FunctionCallValidationError: Missing required parameter 'security_risk' for execute_bash. ## Summary
The OpenHands CLI crashes with a `FunctionCallValidationError` when the LLM generates an ...",Missing required parameter 'security_risk' for execute_bash ## Summary; Missing required parameters for function 'execute_bash': {'security_risk'}; Missing required parameters for function 'execute_bash': {'security_risk'},Contains error/crash related keywords,bug; CLI; agent-sdk,open,2025-10-15,2025-10-22,jpshackelford,,1,https://github.com/OpenHands/OpenHands/issues/11378,No,4527,High
Error Crash,11377,CLI crashes with XML parsing error when using Mistral models in confirmation mode,"CLI crashes with XML parsing error when using Mistral models in confirmation mode. ## Summary
The OpenHands CLI crashes with an XML parsing error when using Mistral models due to impr...","not well-formed (invalid token): line 1, column 75; not well-formed (invalid token): line 1, column 75; not well-formed (invalid token): line 1, column 75",Contains error/crash related keywords,bug; CLI,open,2025-10-15,2025-10-21,jpshackelford,,2,https://github.com/OpenHands/OpenHands/issues/11377,No,3755,High
