Category,Issue_Number,Title,Summary,Technical_Details,Categorization_Reason,Labels,State,Created_Date,Updated_Date,Author,Assignees,Comments_Count,URL,Is_Pull_Request,Body_Length,Priority_Indicators
Cli Terminal,11566,CLI: bump agent-sdk version,CLI: bump agent-sdk version,,Command line interface or terminal related,,open,2025-10-29,2025-10-29,malhotra5,,1,https://github.com/OpenHands/OpenHands/pull/11566,Yes,1415,Normal
Cli Terminal,11565,chore(frontend): Add V1 git service API with unified hooks for git changes and diffs,chore(frontend): Add V1 git service API with unified hooks for git changes and diffs,,Command line interface or terminal related,,open,2025-10-29,2025-10-29,amanape,amanape,1,https://github.com/OpenHands/OpenHands/pull/11565,Yes,1429,Normal
Cli Terminal,11564,V1 IDs without hyphens,V1 IDs without hyphens. * Pydantic parses either hyphenated or non hyphenated versions without issue...,apply universally,Command line interface or terminal related,,open,2025-10-29,2025-10-29,tofarr,,1,https://github.com/OpenHands/OpenHands/pull/11564,Yes,1566,Normal
Cli Terminal,11561,fix(frontend): inconsistent V1 conversation IDs when accessing via conversationpanel,"fix(frontend): inconsistent V1 conversation IDs when accessing via conversationpanel. -->

**Description:**
An inconsistency has been observed in the conversation ID format for V1 con...",,Command line interface or terminal related,,open,2025-10-29,2025-10-29,hieptl,hieptl,3,https://github.com/OpenHands/OpenHands/pull/11561,Yes,2489,Normal
Cli Terminal,11558,fix(frontend): delays in updating conversation titles before they are reflected in the user interface.,"fix(frontend): delays in updating conversation titles before they are reflected in the user interface.. -->

This pull request resolves the issue causing delays in updating conversation titles before th...",,Command line interface or terminal related,,open,2025-10-29,2025-10-29,hieptl,hieptl,2,https://github.com/OpenHands/OpenHands/pull/11558,Yes,1830,Normal
Cli Terminal,11557,Fix import order for Windows PowerShell support,"Fix import order for Windows PowerShell support. -->
Reordered imports in cli_runtime.py to ensure `DotNetMissingError` is imported before `WindowsP...",,Command line interface or terminal related,,open,2025-10-29,2025-10-29,SmartManoj,,0,https://github.com/OpenHands/OpenHands/pull/11557,Yes,1136,Normal
Cli Terminal,11556,feat: add V1 CLI alias setup with uv tool install support,"feat: add V1 CLI alias setup with uv tool install support. ## Summary

This PR implements comprehensive alias setup functionality for OpenHands V1 CLI, addre...",,Command line interface or terminal related,,open,2025-10-29,2025-10-29,aaron-seq,,0,https://github.com/OpenHands/OpenHands/pull/11556,Yes,2619,Normal
Cli Terminal,11551,chore - Enforce python test coverage,"chore - Enforce python test coverage. ## Summary of PR

We've recently discussed adding enforcement of test coverage, specifically to pr...",,Command line interface or terminal related,,open,2025-10-28,2025-10-29,raymyers,raymyers,4,https://github.com/OpenHands/OpenHands/pull/11551,Yes,2212,Normal
Cli Terminal,11507,enhance: improve alias setup with uv tool install recommendation,"enhance: improve alias setup with uv tool install recommendation. ## Problem Statement

Addresses issue #10754 which requested that the alias prompt suggest `uv too...",provides a foundation for potentially defaulting to `uv tool install` in future releases while givin,Command line interface or terminal related,,open,2025-10-25,2025-10-29,aaron-seq,,4,https://github.com/OpenHands/OpenHands/pull/11507,Yes,3927,Normal
Cli Terminal,11500,feat: add /init microagent for repository initialization,feat: add /init microagent for repository initialization,,Command line interface or terminal related,,open,2025-10-24,2025-10-27,ak684,,1,https://github.com/OpenHands/OpenHands/pull/11500,Yes,1784,Normal
